"landed_year","dealer_state","dealer_city","total_live_lbs","total_value","total_adjusted_val","perc_change_Val","perc_change_lbs"
1977,"LA","ABBEVILLE",249225,155187,528266,0,0
1978,"LA","ABBEVILLE",363785,326733,1039102,96.7,45.97
1979,"LA","ABBEVILLE",154851,212948,625357,-39.82,-57.43
1981,"LA","ABBEVILLE",185037,213305,524851,-16.07,19.49
1983,"LA","ABBEVILLE",621,721,1608,-99.69,-99.66
1984,"LA","ABBEVILLE",1703984,2510763,5404144,335978.61,274293.56
1985,"LA","ABBEVILLE",2197611,3653325,7622303,41.05,28.97
1986,"LA","ABBEVILLE",2713633,6395551,13080335,71.61,23.48
1987,"LA","ABBEVILLE",3488391,7297699,14565188,11.35,28.55
1988,"LA","ABBEVILLE",4223625,7761742,14963523,2.73,21.08
1989,"LA","ABBEVILLE",4069600,6943209,12880510,-13.92,-3.65
1990,"LA","ABBEVILLE",4617305,7767935,13890505,7.84,13.46
1991,"LA","ABBEVILLE",4872130,9285358,16060762,15.62,5.52
1992,"LA","ABBEVILLE",4967680,9091639,15375331,-4.27,1.96
1993,"LA","ABBEVILLE",6008225,11472619,18952633,23.27,20.95
1994,"LA","ABBEVILLE",8148543,19194248,31046076,63.81,35.62
1995,"LA","ABBEVILLE",8610088,18704246,29631789,-4.56,5.66
1996,"LA","ABBEVILLE",7884482,15957918,24826433,-16.22,-8.43
1997,"LA","ABBEVILLE",7710638,18746812,28670914,15.49,-2.2
1998,"LA","ABBEVILLE",9136095,19765456,29892507,4.26,18.49
1999,"LA","ABBEVILLE",12233540,26783371,39943365,33.62,33.9
2000,"LA","ABBEVILLE",15192212,38819024,56609853,41.73,24.18
2001,"LA","ABBEVILLE",13008749,29614179,42234808,-25.39,-14.37
2002,"LA","ABBEVILLE",14429151,28649659,40232428,-4.74,10.92
2003,"LA","ABBEVILLE",14815415,23196309,31943949,-20.6,2.68
2004,"LA","ABBEVILLE",14143094,22441853,30097046,-5.78,-4.54
2005,"LA","ABBEVILLE",14521651,23677945,30789119,2.3,2.68
2006,"LA","ABBEVILLE",21450039,28002616,35322707,14.72,47.71
2007,"LA","ABBEVILLE",16274093,26479564,32522513,-7.93,-24.13
2008,"LA","ABBEVILLE",13167956,25394977,30603397,-5.9,-19.09
2009,"LA","ABBEVILLE",18951309,23814231,28515728,-6.82,43.92
2010,"LA","ABBEVILLE",9358993,16812515,19892635,-30.24,-50.62
2011,"LA","ABBEVILLE",11463473,23292855,26999248,35.72,22.49
2012,"LA","ABBEVILLE",12634229,23629709,26886827,-0.42,10.21
2013,"LA","ABBEVILLE",10156631,24331684,27209133,1.2,-19.61
2014,"LA","ABBEVILLE",10519616.85,30105033.7,33047169,21.46,3.57
2015,"LA","ABBEVILLE",NA,16082866.64,17479752,-47.11,NA
2016,"LA","ABBEVILLE",9205378.4,17000196.53,18293462,4.66,NA
2017,"LA","ABBEVILLE",12067903,24441716,25810695,41.09,31.1
2018,"LA","ABBEVILLE",8337131,16821667,17346874,-32.79,-30.91
2019,"LA","ABBEVILLE",6556050,12595022,12759414,-26.45,-21.36
2020,"LA","ABBEVILLE",5494743,9780715,9780715,-23.35,-16.19
1999,"LA","ABITA SPRINGS",569,949,1415,0,0
