"landed_year","dealer_city","dealer_state","Adjusted_Val"
1977,"ABBEVILLE","LA",221979
1977,"ABBEVILLE","LA",306287
1977,"ANAHUAC","TX",73426
1977,"ANAHUAC","TX",44995
1977,"ANAHUAC","TX",43531
1977,"ANAHUAC","TX",692576
1977,"ANAHUAC","TX",73426
1977,"ANAHUAC","TX",44995
1977,"ANAHUAC","TX",150007
1977,"ANAHUAC","TX",905537
1977,"ARANSAS PASS","TX",33726342
1977,"ARANSAS PASS","TX",2922029
1977,"ARANSAS PASS","TX",2854608
1977,"ARANSAS PASS","TX",183669
1977,"ARANSAS PASS","TX",312789
1977,"ARANSAS PASS","TX",289910
1977,"ARANSAS PASS","TX",92424
1977,"ARANSAS PASS","TX",1030064
1977,"ARANSAS PASS","TX",1458148
1977,"ARANSAS PASS","TX",263648
1977,"ARANSAS PASS","TX",8463019
1977,"ARANSAS PASS","TX",1242695
1977,"ARANSAS PASS","TX",479751
1977,"ARANSAS PASS","TX",585991
1977,"ARANSAS PASS","TX",21919245
1977,"ARANSAS PASS","TX",2902707
1977,"ARANSAS PASS","TX",14110
1977,"ARANSAS PASS","TX",1428989
1977,"ARANSAS PASS","TX",809648
1977,"ARANSAS PASS","TX",6945535
1977,"ARANSAS PASS","TX",1056360
1977,"ARANSAS PASS","TX",1528435
1977,"ARANSAS PASS","TX",255485
1977,"ARANSAS PASS","TX",8463019
1977,"ARANSAS PASS","TX",1242695
1977,"ARANSAS PASS","TX",2798
1977,"ARANSAS PASS","TX",1528435
1977,"ARANSAS PASS","TX",255485
1977,"BARATARIA","LA",2996
1977,"BARATARIA","LA",877682
1977,"BARATARIA","LA",3948685
1977,"BARATARIA","LA",6142964
1977,"BATON ROUGE","LA",931884
1977,"BATON ROUGE","LA",1036644
1977,"BAYOU LA BATRE","AL",3491660
1977,"BAYOU LA BATRE","AL",360527
1977,"BAYOU LA BATRE","AL",18440596
1977,"BAYOU LA BATRE","AL",222891
1977,"BAYOU LA BATRE","AL",13639500
1977,"BAYOU LA BATRE","AL",5169618
1977,"BAYOU LA BATRE","AL",59598
1977,"BAYOU LA BATRE","AL",313527
1977,"BAYOU LA BATRE","AL",129395
1977,"BAYOU LA BATRE","AL",3993
1977,"BAYOU LA BATRE","AL",376067
1977,"BAYOU LA BATRE","AL",47776
1977,"BAYOU LA BATRE","AL",488714
1977,"BAYOU LA BATRE","AL",57556
1977,"BAYOU LA BATRE","AL",644565
1977,"BAYOU LA BATRE","AL",331596
1977,"BAYOU LA BATRE","AL",2333202
1977,"BAYOU LA BATRE","AL",236681
1977,"BAYTOWN","TX",9007
1977,"BAYTOWN","TX",34463
1977,"BERWICK","LA",702570
1977,"BERWICK","LA",1515425
1977,"BILOXI","MS",348371
1977,"BILOXI","MS",2655
1977,"BILOXI","MS",1017895
1977,"BILOXI","MS",84387
1977,"BILOXI","MS",162646
1977,"BILOXI","MS",22256
1977,"BILOXI","MS",1174672
1977,"BILOXI","MS",34742
1977,"BILOXI","MS",236075
1977,"BILOXI","MS",73684
1977,"BILOXI","MS",2013874
1977,"BILOXI","MS",908699
1977,"BILOXI","MS",319913
1977,"BILOXI","MS",2893
1977,"BILOXI","MS",1506023
1977,"BILOXI","MS",13616
1977,"BILOXI","MS",547944
1977,"BOLIVAR PENINSULA","TX",838698
1977,"BOLIVAR PENINSULA","TX",1485820
1977,"BOLIVAR PENINSULA","TX",1397682
1977,"BOLIVAR PENINSULA","TX",1957183
1977,"BOLIVAR PENINSULA","TX",2970788
1977,"BOLIVAR PENINSULA","TX",1850571
1977,"BON SECOUR","AL",3881891
1977,"BON SECOUR","AL",80577
1977,"BON SECOUR","AL",186838
1977,"BON SECOUR","AL",3881891
1977,"BON SECOUR","AL",80577
1977,"BON SECOUR","AL",186838
1977,"BON SECOUR","AL",8211116
1977,"BON SECOUR","AL",174271
1977,"BON SECOUR","AL",297232
1977,"BON SECOUR","AL",2962
1977,"BON SECOUR","AL",11608
1977,"BROWNSVILLE","TX",1273856
1977,"BROWNSVILLE","TX",7673
1977,"BROWNSVILLE","TX",2180043
1977,"BROWNSVILLE","TX",201459
1977,"BROWNSVILLE","TX",663784
1977,"BROWNSVILLE","TX",2180043
1977,"BROWNSVILLE","TX",201459
1977,"BROWNSVILLE","TX",2356114
1977,"BROWNSVILLE","TX",28461
1977,"BROWNSVILLE","TX",629965
1977,"BROWNSVILLE","TX",25410858
1977,"BROWNSVILLE","TX",179363
1977,"BROWNSVILLE","TX",2180043
1977,"BROWNSVILLE","TX",201459
1977,"BROWNSVILLE","TX",1239189
1977,"BROWNSVILLE","TX",68343
1977,"BROWNSVILLE","TX",6655823
1977,"BROWNSVILLE","TX",15328
1977,"BROWNSVILLE","TX",7727
1977,"BROWNSVILLE","TX",629965
1977,"BROWNSVILLE","TX",4929558
1977,"BROWNSVILLE","TX",28856
1977,"BROWNSVILLE","TX",6655823
1977,"BROWNSVILLE","TX",15328
1977,"BROWNSVILLE","TX",2356114
